Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4
Name A Specific Meat That Would Be Hardest To Eat If You Didn’t Have A Knife.,Steak,53,Ribs,22,Ham/Pork,14,Chicken,8
Name Something That’s Sold By The Pound,Meat,68,Vegetables,9,Sugar,9,Coffee,8
Tell Me The Occupation Of Someone Who Might Wear A Headlamp.,Miner,65,Doctor/Dentist,23,police/Detective,4,Construction Worker,3
Name A Famous Danny.,Danny Devito,35,danny Glover,32,Danny Thomas,20,Danny Bonaduce,9
Name Something Who Uses A Gun,Police,82,Criminal,7,Hunter,5,Dirty Harry,2
Name Something That Would Be Hard To Do If You Didn’t Have A Mouth.,Eat,35,Talk,30,Kiss,25,Drink,9
"Name A Command A Dog Knows, But You Wouldn’t Bother Giving To Your Cat.",Sit,59,Stay,20,Roll Over,12,Fetch,5
"Besides Andy, Name A Character From “The Andy Griffith Show.”",Opie,42,Barney Fife,34,Aunt Bea,17,Gomer Pyle,3
Name Something A Bartender Does With A Customer Who’s Had Too Much To Drink.,Cut Them Off,53,Call A Cab,21,Take Their Keys,14,Kick Them Out,9
Name Something That Would Lead You To Suspect That The Person You’ve Just Met Is From Canada.,Accent,77,Wearing Maple Flag,9,Different Currency,8,Love Hockey,4
Name A Profession That Would Require You To Save Someone’s Life.,Dr./Nurse,57,Lifeguard,22,Firefighter,14,Paramedic,6
What Do People Do At The Beach That Doesn’t Involve Getting In The Water?,Tan,56,Play Volleyball,24,Walk,12,Picnic,4
What Happens To A Couch That Lets You Know It’s Time To Get Rid Of It?,tears In Upholstery,42,Sags,26,Leg/Arm Breaks,17,Springs pop Out,13
Name Something People Skip.,Breakfast/Meals,57,School/Work,22,Rope,12,Stones,4
Name A Bird With Really Long Legs.,Ostrich,48,Flamingo,24,Crane,14,Stork,13
Name A Reason Why A Man Would Wax Hair Off Part Of His Body.,Too Hairy,34,For Spouse/Date,28,Body Builder,19,Swimmer,16
Name An Article Of Clothing You Are Constantly Buying More Of.,Socks,52,Underware,24,Shoes,9,T Shirts,9
Tell Me The Day Of The Week When You Start Thinking About The Weekend.,Monday,34,Thursday,31,Wednesday,30,Tuesday,5
"Name Something You Usually Do Indoors, But Might Do Outdoors When Camping.",Sleep,43,Cook,24,Eat,17,Use Bathroom,12
Name Something Flirtatious That A Man Shouldn’t Do While At Work.,Wink,38,Blow kisses,28,Hug,19,Whistle At Someone,11
What Do A Barber And Butcher Have In Common?,Cutting,46,Own A Shop,30,Often Male,13,White Coat,9
Name Someplace You’d Have To Be On Really Good Terms To Invite Your Ex.,Your Wedding,40,Birthday Party,23,Family Reunion,21,Your House,10
